Topic,Problem Name,Difficulty,Problem Link,Solution Link,Video Link
Day 1,Merge Sort, Medium,https://leetcode.com/problems/sort-an-array/,Day 1/merge-sort.md, https://www.youtube.com/watch?v=KF2j-9iSf4Q
Day 1,Quick Sort, Easy,https://leetcode.com/problems/sort-an-array/,Day 1/quick-sort.md, https://youtu.be/SLauY6PpjW4?si=mcLmFWmC-kfgl3ho
Day 1,Longest Consecutive Sequence in an Array, Hard,https://leetcode.com/problems/longest-consecutive-sequence/,Day 1/longest-consecutive-sequence.md,#
Day 1, Spiral Matrix, Medium, https://leetcode.com/problems/spiral-matrix/, Day 1/spiral-matrix.md, #
Day 1, Maximum Subarray, Medium, https://leetcode.com/problems/maximum-subarray/, Day 1/maximum-subarray.md, #
Day 2, Pascal's Triangle, Medium, https://leetcode.com/problems/pascals-triangle/, Day 2/pascals-triangle.md, #
